emp_no,first_name,last_name,gender,salary,to_date
11258,Aris,Maccarone,F,40000,9999-01-01
11266,Florina,Rohrbach,M,40000,9999-01-01
11267,Shaunak,Zaumen,M,65990,9999-01-01
11268,Aimee,Petersohn,F,40000,9999-01-01
11274,Masanao,Nicolson,F,40000,9999-01-01
11275,Hitomi,Eppinger,F,58382,9999-01-01
11289,Chuanti,Cherinka,M,40000,9999-01-01
11290,Visit,Dredge,M,65034,9999-01-01
11292,Souichi,Sichman,F,40000,9999-01-01
11294,Tru,Segond,F,43768,9999-01-01
11295,Abdelkader,Lanzelotte,M,66622,9999-01-01
11038,Jinya,Beidas,M,44993,9999-01-01
11042,Gou,Breugel,F,40000,9999-01-01
11296,Hironobu,Kenevan,M,40000,9999-01-01
11048,Jaques,Demke,M,65697,9999-01-01
11301,Mingzeng,Oxenboll,F,40000,9999-01-01
11050,Elvis,Katiyar,M,52251,9999-01-01
11051,Przemyslawa,Erol,F,40000,9999-01-01
11056,Palash,Speel,F,79354,9999-01-01
11317,Shigeaki,Hagimont,F,40000,9999-01-01
11319,Pranas,Marrakchi,F,40000,9999-01-01
11320,Atilio,McAlpine,M,45118,9999-01-01
11061,Pintsang,Erni,M,81257,9999-01-01
11322,Nathalie,Pocchiola,F,43021,9999-01-01
11324,Kauko,Billingsley,F,54288,9999-01-01
11325,Samphel,Rossi,F,62458,9999-01-01
11326,Munenori,Plesums,F,40000,9999-01-01
11064,Shawna,Vieri,F,48411,9999-01-01
11066,Shaz,Langford,M,53496,9999-01-01
11338,Kwangsub,Hanratty,M,82210,9999-01-01
11339,Flemming,Massonet,M,40000,9999-01-01
11340,Aris,Bala,M,48813,9999-01-01
11070,Adib,Raney,M,40000,9999-01-01
11343,Susanne,Erez,M,43306,9999-01-01
11347,Anneli,Jonsson,M,41524,9999-01-01
11349,Yurii,Hammerschmidt,M,46356,9999-01-01
11071,Kwan,Sigstam,F,40000,9999-01-01
11075,Karsten,Belinskaya,F,76877,9999-01-01
11079,Piyush,Garigliano,M,46239,9999-01-01
11360,Fen,Schach,M,63466,9999-01-01
11081,Barry,Boyle,M,65686,9999-01-01
11083,Shimshon,Ducloy,M,90972,9999-01-01
11365,Toshimi,Shinomoto,M,56463,9999-01-01
11084,Greger,Senzako,M,52121,9999-01-01
11373,Yongmao,Keohane,F,45912,9999-01-01
11085,Hailing,Thummel,M,66437,9999-01-01
11376,Valery,Suomi,M,46964,9999-01-01
11087,Changho,Jayawardene,M,78081,9999-01-01
11380,Kenroku,Pelc,M,53345,9999-01-01
11385,Shiv,Ullian,M,40000,9999-01-01
11089,Conal,Henders,F,41004,9999-01-01
11386,Alselm,Assaf,F,47726,9999-01-01
11091,Souichi,Ramsay,F,76253,9999-01-01
11393,Junsik,Junot,M,40000,9999-01-01
11396,Anneke,Servieres,F,48918,9999-01-01
11398,Oscar,Peir,M,44625,9999-01-01
11092,Narain,Stamatiou,M,78588,9999-01-01
11401,Huan,Merey,F,52021,9999-01-01
11098,Arnd,Covnot,F,40000,9999-01-01
11404,Bedrich,Borovoy,M,42907,9999-01-01
11406,Eberhardt,Gini,F,71834,9999-01-01
11100,Berna,Cochrane,M,40000,9999-01-01
11410,Gro,Vendrig,M,45665,9999-01-01
11106,Aris,Iwayama,F,71446,9999-01-01
11503,Nathan,Picht,F,56928,9999-01-01
11415,Sanjiv,Anido,M,40000,9999-01-01
11417,Anneli,Cyne,M,74114,9999-01-01
11418,Satosi,Cooley,F,40000,9999-01-01
11420,Tsutomu,Lalonde,F,40000,9999-01-01
11421,Josyula,Msuda,F,52416,9999-01-01
11423,Guangming,Kopetz,M,43947,9999-01-01
11425,Renee,Crelier,M,40000,9999-01-01
11441,Marlo,Aingworth,M,67352,9999-01-01
11506,Rance,Picel,F,89747,9999-01-01
11446,Naftali,Narahara,M,40000,9999-01-01
11449,Kotesh,Asser,M,61434,9999-01-01
11451,Eben,Rajaraman,M,61848,9999-01-01
11509,Aleksander,Feldhoffer,M,40000,9999-01-01
11452,Shigehito,Luby,F,52083,9999-01-01
11459,Duke,Suomi,M,40000,9999-01-01
11513,Otmar,Mahnke,M,82525,9999-01-01
11460,Mana,Maraist,M,45712,9999-01-01
11515,Ulf,Basawa,F,70182,9999-01-01
11469,Guttorm,Giaccio,M,44625,9999-01-01
11518,Jinxi,Oxman,M,40000,9999-01-01
11474,Gennady,Akazan,M,59016,9999-01-01
11476,Manton,Yoshizawa,F,56449,9999-01-01
11519,Halsur,Chinen,F,61444,9999-01-01
11479,Shridhar,Pleszkun,M,78157,9999-01-01
11523,Yuguang,Pezzoli,F,64203,9999-01-01
11524,Xiadong,Standera,M,41081,9999-01-01
11527,Alagu,Boyle,M,60212,9999-01-01
11528,Zito,Dolinsky,M,44026,9999-01-01
11667,Kristian,Marchegay,F,79814,9999-01-01
11531,Radhika,Motley,M,53370,9999-01-01
11533,Vitaly,Lorch,M,40000,9999-01-01
11537,DAIDA,Pehl,M,96023,9999-01-01
11673,Henk,Felder,F,40000,9999-01-01
11676,Valeri,Ferriere,F,43310,9999-01-01
11681,Fumitake,Benzmuller,F,40000,9999-01-01
11684,Oksana,Gide,F,68753,9999-01-01
11540,Chanjung,Portugali,M,70043,9999-01-01
11690,Domenick,Raczkowsky,M,44420,9999-01-01
11693,Hideo,Coorg,M,70403,9999-01-01
11696,Dante,Rothe,M,51633,9999-01-01
11554,Subhash,Taubenfeld,M,46065,9999-01-01
11555,Kotesh,Perfilyeva,M,40000,9999-01-01
11567,Teiji,Mitzlaff,M,86261,9999-01-01
11713,Danel,Heusch,M,53387,9999-01-01
11568,Martins,Fujisaki,M,54673,9999-01-01
11573,Pranas,Hutton,F,46194,9999-01-01
11732,Sanjoy,Ranft,F,40000,9999-01-01
11733,Leszek,Sudbeck,F,46092,9999-01-01
11575,Godehard,Plotkin,F,50896,9999-01-01
11735,Amalendu,Picci,M,40000,9999-01-01
11736,Shugo,Uchoa,M,44127,9999-01-01
11577,Mayumi,Deyuan,M,40000,9999-01-01
11737,Martina,Garnier,M,48832,9999-01-01
11746,Koichi,Marrakchi,F,55951,9999-01-01
11581,Patricio,Rosenbaum,F,46950,9999-01-01
11748,Lihong,Massonet,M,54491,9999-01-01
11587,Shem,Zambonelli,M,40000,9999-01-01
11751,Jiafu,Emiris,M,40000,9999-01-01
11756,Abdelwaheb,Vakili,M,59493,9999-01-01
11589,Gina,Plessier,F,58444,9999-01-01
11595,Takanari,Kamber,M,68224,9999-01-01
11763,Yuriy,Liesche,F,40000,9999-01-01
11764,Sanjay,Anick,F,64875,9999-01-01
11765,Zorica,Junet,F,40000,9999-01-01
11769,Chandrasekaran,Lampe,M,40000,9999-01-01
11770,Arumugam,Jakobus,F,40000,9999-01-01
11772,Gaurav,Penz,F,61295,9999-01-01
11774,Aron,Wroclawski,M,40000,9999-01-01
11778,Dhritiman,Fontan,F,40000,9999-01-01
11779,Shunichi,Thombley,M,40000,9999-01-01
11791,Gal,Mamelak,F,40000,9999-01-01
11797,Chenxi,Thambidurai,M,88050,9999-01-01
11801,Tommaso,Dayang,M,67265,9999-01-01
11807,Chriss,Binding,F,40000,9999-01-01
11810,Amabile,Bhattacharjee,M,41256,9999-01-01
11811,Herb,Boissier,M,52695,9999-01-01
11817,Niranjan,Markovitch,M,50638,9999-01-01
11822,Sastry,Madeira,F,67396,9999-01-01
11823,Weiyi,Iacovou,M,72637,9999-01-01
11829,Chaosheng,Pettis,F,40000,9999-01-01
11832,Arto,Zlotek,M,40000,9999-01-01
11836,Ortrud,Bakhtari,M,40000,9999-01-01
11841,Elvia,Bugrara,M,90296,9999-01-01
11842,Moto,Piazza,M,40000,9999-01-01
11844,Shawna,Demeyer,M,78049,9999-01-01
11846,Fai,Perly,F,53448,9999-01-01
11853,Zeljko,Kusakabe,F,61941,9999-01-01
11857,Divier,Farrag,F,94805,9999-01-01
11862,Alejandra,Deville,M,46011,9999-01-01
11864,Pradeep,Kriebel,F,52517,9999-01-01
11596,Yannik,Gunderson,F,54076,9999-01-01
11868,Kwee,Demke,M,48349,9999-01-01
11869,Fumino,Luca,F,62968,9999-01-01
11871,Nalini,Sommen,M,67424,9999-01-01
11872,Cheong,Riexinger,M,43159,9999-01-01
11602,Somnath,Malabarba,M,58575,9999-01-01
11876,Leszek,Kobuchi,M,45372,9999-01-01
11881,Arra,Staelin,M,76541,9999-01-01
11603,Herb,Swen,F,69180,9999-01-01
11888,Badri,Azulay,M,53720,9999-01-01
11606,Perry,Pepe,M,40000,9999-01-01
11894,Mitchel,Validov,M,56198,9999-01-01
11896,Shaunak,Benzmuller,M,40000,9999-01-01
11897,Cordelia,Setlzner,M,80049,9999-01-01
11607,Tomokazu,Foong,F,49584,9999-01-01
11615,Shem,Isaak,F,46591,9999-01-01
11906,Hideo,Boguraev,F,81324,9999-01-01
11911,Ashish,Mondadori,M,40000,9999-01-01
11616,Zhilian,Brendel,F,41900,9999-01-01
11915,Miomir,Mawatari,M,58042,9999-01-01
11917,Jiakeng,VanScheik,F,40000,9999-01-01
11624,Adil,Gammage,M,42001,9999-01-01
11926,Leni,Felcyn,F,41612,9999-01-01
11628,Fan,Malinowski,M,43966,9999-01-01
11931,Gunilla,Chiodo,F,73369,9999-01-01
11933,Basil,Erman,M,56130,9999-01-01
11640,Valeri,Coorg,M,52520,9999-01-01
11938,Aruna,Verspoor,M,40000,9999-01-01
11641,Chikako,Rothenberg,M,53327,9999-01-01
11940,Ult,Anido,F,60193,9999-01-01
11944,Along,Aumann,M,52061,9999-01-01
11644,Sanjit,Zaiane,F,80722,9999-01-01
11945,Limsoon,Marakhovsky,F,53056,9999-01-01
11646,Lobel,Rubsam,M,55411,9999-01-01
11948,Yahiko,Nergos,F,49929,9999-01-01
11647,Magy,Nitsche,M,40000,9999-01-01
11949,Martijn,Harbusch,M,40000,9999-01-01
11951,Bernt,Haumacher,M,40000,9999-01-01
11649,Shen,Bernardinello,F,40000,9999-01-01
11660,Gill,Stenning,F,65758,9999-01-01
11965,Arup,Morrey,M,57709,9999-01-01
11664,Oksana,Brizzi,F,70380,9999-01-01
11972,Sibyl,Beausoleil,F,52908,9999-01-01
12036,Mads,Ratzlaff,M,67143,9999-01-01
11980,Yechezkel,Pews,M,58241,9999-01-01
11983,Jaana,Hedayat,M,40000,9999-01-01
12037,Arunas,Katzenelson,M,47805,9999-01-01
12040,Bluma,Kermarrec,F,64813,9999-01-01
12043,Masaki,Lubachevsky,M,49009,9999-01-01
12044,Rance,Hemaspaandra,F,40000,9999-01-01
11989,Erzsebet,Peltason,M,40000,9999-01-01
12047,Jordanka,Ligten,M,52051,9999-01-01
12050,Yuchang,Tchuente,F,46704,9999-01-01
11993,Marit,Dalphin,M,56505,9999-01-01
11994,Sigeru,Fiebach,F,49761,9999-01-01
12053,Yechezkel,Pelc,M,48319,9999-01-01
12054,Odysseas,Braccini,M,67400,9999-01-01
12060,Toshimi,Antonakopoulos,M,40000,9999-01-01
12062,Margareta,Worfolk,M,44199,9999-01-01
12007,Marko,Dehkordi,M,40000,9999-01-01
12063,Lein,Bale,F,56022,9999-01-01
12011,Zhilian,Coorg,F,85833,9999-01-01
12069,Ayonca,Burnard,M,51928,9999-01-01
12015,Kensei,Guenter,M,42853,9999-01-01
12021,Chikara,Rahimi,M,40000,9999-01-01
12023,Chuanyi,Eppinger,M,40000,9999-01-01
12024,Mayumi,Lanzelotte,M,65580,9999-01-01
12070,Ger,Shokrollahi,M,50233,9999-01-01
12028,Ingemar,Walstra,M,51314,9999-01-01
12076,Karlis,Siprelle,F,75381,9999-01-01
12030,Shuky,Cromarty,M,40000,9999-01-01
12034,Aemilian,Piazza,M,40148,9999-01-01
12080,Panayotis,Feinberg,M,47946,9999-01-01
12082,Xinan,Yamaashi,M,72118,9999-01-01
12089,Bilhanan,Socorro,M,46288,9999-01-01
12221,Vincent,Melter,M,56736,9999-01-01
12222,Abdelwaheb,Holburn,F,55840,9999-01-01
12223,Niteen,Koyama,F,54459,9999-01-01
12090,Shigenori,Angelopoulos,F,46269,9999-01-01
12091,Lansing,Cunliffe,M,40000,9999-01-01
12092,Kauko,Unno,M,40000,9999-01-01
12093,Evgueni,Oxenboll,F,40000,9999-01-01
12230,Yuriy,Bellone,F,53692,9999-01-01
12231,Nishit,Bharadwaj,M,40000,9999-01-01
12235,Honesty,Haumacher,F,100755,9999-01-01
12094,Weiru,Pearson,F,44788,9999-01-01
12099,Nobuyoshi,Kuzuoka,M,104610,9999-01-01
12102,Aron,Erde,M,90853,9999-01-01
12242,Satoru,Wolniewicz,F,46911,9999-01-01
12247,Subbu,Penttonen,F,59183,9999-01-01
12249,Eldridge,Sadowski,M,70099,9999-01-01
12250,Kerhong,Aloia,F,61573,9999-01-01
12112,Satyanarayana,Avouris,M,76538,9999-01-01
12256,Guadalupe,Reghbati,F,40000,9999-01-01
12258,Kankanahalli,Eiter,F,40748,9999-01-01
12114,Shiv,Rubsam,M,40000,9999-01-01
12264,Mart,Pagter,M,51816,9999-01-01
12122,Satoru,Krone,F,46398,9999-01-01
12269,Mohammed,Whitcomb,F,40000,9999-01-01
12270,Shakhar,Kornyak,M,52840,9999-01-01
12123,Xiahua,Syrzycki,F,64879,9999-01-01
12125,Shounak,Erman,F,41215,9999-01-01
12272,Behnaam,Grandbois,F,43811,9999-01-01
12273,Jaideep,Uehara,M,90736,9999-01-01
12281,Hisao,Langford,F,45417,9999-01-01
12282,Tadahiro,Delgrange,M,40000,9999-01-01
12138,Takahito,Brender,F,40000,9999-01-01
12291,Masamitsu,Koyama,F,67506,9999-01-01
12298,Tetsurou,Rodham,M,62015,9999-01-01
12308,Mototsugu,Cronau,M,58741,9999-01-01
